zwanger;geslacht;leeftijd;breedte;lengte;grootte;pixeldichtheid
0;1;82;948;1291;77,8;72
1;1;23;736;1104;133,8;96
0;1;25;1280;1769;200,9;72
0;1;88;982;1390;193;
0;1;19;735;849;49,5;72
0;1;40;1334;2048;323,3;72
1;1;25;640;799;80,1;96
0;1;24;736;1035;93,3;96
0;1;60;640;360;18,3;300
1;1;27;350;431;33,8;96
0;1;34;236;354;18,1;96
1;1;30;1440;2160;154,2;72
0;1;22;736;1105;94,8;96
0;1;75;600;900;112,6;300
1;1;26;682;1024;63,7;96
0;1;32;620;775;73,5;96
0;1;28;750;921;113,8;72
0;1;79;402;640;39,1;96
1;1;36;600;804;61,6;96
0;1;24;600;900;59,5;96
0;1;20;570;788;74,4;96
0;1;85;700;700;359,4;300
1;1;31;801;1112;207,2;72
0;1;37;736;919;88,2;96
0;1;26;400;600;117,5;72
0;1;29;1920;1200;151,4;96
0;1;39;682;1024;418,9;300
0;1;24;1920;1080;331,1;96
0;1;27;930;1280;184,4;96
1;1;23;736;1030;77,3;96
0;0;26;500;750;34;96
0;0;62;675;900;113,9;72
0;0;23;736;981;54;96
0;0;20;566;800;69;72
0;0;31;720;960;39,9;96
0;0;34;961;1200;129,1;72
0;0;84;644;900;63,1;596
0;0;27;768;1024;87,4;72
0;0;22;1280;1792;199,6;72
0;0;32;1066;1332;116,1;72
0;0;34;3840;5760;1001;72
0;0;28;1280;1920;193,2;72
0;0;68;888;1050;281,9;96
0;0;21;736;979;53,7;96
0;0;30;599;731;44;72
0;0;23;618;962;80,4;96
0;0;46;640;992;82,3;72
0;0;55;640;640;73,3;96
0;0;42;300;250;31,5;72
